HORODATE;SOUS_PROFIL;CATEGORIE;COEFFICIENT_PREPARE;COEFFICIENT_AJUSTE;COEFFICIENT_DYNAMIQUE;INDIC_DISPERS_POIDS_DYN;INDIC_PRECISION_DYN
2024-07-21T06:30:00+02:00;RES1_BASE;Residentiel;0.553;0.553;0.551856205;100;100
2024-07-21T09:30:00+02:00;RES1_BASE;Residentiel;1.0079;1.0079;0.869800492;100;100
2024-07-21T10:00:00+02:00;RES1_BASE;Residentiel;1.0657;1.0657;0.910906069;100;100
2024-07-21T19:00:00+02:00;RES1_BASE;Residentiel;1.1173;1.1173;1.037416659;100;100
2024-07-21T20:00:00+02:00;RES1_BASE;Residentiel;1.1584;1.1584;1.065173909;100;100
2024-07-21T20:30:00+02:00;RES1_BASE;Residentiel;1.1331;1.1331;1.035536089;100;100
2024-07-21T21:30:00+02:00;RES1_BASE;Residentiel;1.1086;1.1086;0.95458929;100;100
2024-07-22T00:30:00+02:00;RES1_BASE;Residentiel;0.6307;0.6307;0.612475111;100;100
2024-07-22T05:00:00+02:00;RES1_BASE;Residentiel;0.5197;0.5197;0.50149361;100;100
2024-07-22T05:30:00+02:00;RES1_BASE;Residentiel;0.5416;0.5416;0.511684919;100;100
2024-07-22T20:00:00+02:00;RES1_BASE;Residentiel;1.222;1.222;1.118259776;100;100
2024-07-23T13:00:00+02:00;RES1_BASE;Residentiel;1.0593;1.0593;0.907296464;100;100
2024-07-24T00:30:00+02:00;RES1_BASE;Residentiel;0.6385;0.6385;0.611218748;100;100
2024-07-24T03:00:00+02:00;RES1_BASE;Residentiel;0.5391;0.5391;0.507971365;100;100
2024-07-24T08:00:00+02:00;RES1_BASE;Residentiel;0.8709;0.8709;0.722391687;100;100
2024-07-24T10:30:00+02:00;RES1_BASE;Residentiel;0.9755;0.9755;0.818815553;100;100
2024-07-24T11:00:00+02:00;RES1_BASE;Residentiel;1.0247;1.0247;0.855891998;100;100
2024-07-24T12:00:00+02:00;RES1_BASE;Residentiel;1.1422;1.1422;0.967585387;100;100
2024-07-24T16:30:00+02:00;RES1_BASE;Residentiel;0.8675;0.8675;0.793813231;100;100
2024-07-24T18:00:00+02:00;RES1_BASE;Residentiel;0.9694;0.9694;0.896668122;100;100
2024-07-24T22:30:00+02:00;RES1_BASE;Residentiel;0.9798;0.9798;0.862011756;100;100
2024-07-25T09:30:00+02:00;RES1_BASE;Residentiel;0.8862;0.8862;0.782282922;100;100
2024-07-25T12:30:00+02:00;RES1_BASE;Residentiel;1.0692;1.0692;0.951479738;100;100
2024-07-25T13:00:00+02:00;RES1_BASE;Residentiel;1.0487;1.0487;0.91331264;100;100
2024-07-25T16:00:00+02:00;RES1_BASE;Residentiel;0.8494;0.8494;0.815612144;100;100
2024-07-25T16:30:00+02:00;RES1_BASE;Residentiel;0.869;0.869;0.813712724;100;100
2024-07-25T17:00:00+02:00;RES1_BASE;Residentiel;0.8802;0.8802;0.82852799;100;100
2024-07-25T21:00:00+02:00;RES1_BASE;Residentiel;1.1813;1.1813;1.005945687;100;100
